,title,job_role,companyName,job_location,Job_Summary,post_date,salary,today_date,Job_url
201,Sr. Data Engineer,Machine Learning Engineer,Cubestack Solution Pvt Ltd,"Bengaluru, Karnataka","Hands-on, design, modeling, development, and delivery.
Strong working knowledge of AWS and Azure services and components, and the ability to stitch together…",EmployerActive 2 days ago,"₹6,29,311 - ₹20,12,971 a year",2023-08-30,https://in.indeed.com/company/Cubestack-Solution-Pvt-Ltd/jobs/Data-Engineer-d3435f93378b5ca4?fccid=4d76994fdb4c2d16&vjs=3
202,Deep Learning Engineer,Machine Learning Engineer,Aptagrim Consulting,"Hyderabad, Telangana","Working knowledge of deep learning, machine learning, and statistics.
Strong knowledge of deep learning applications with computer vision, image captioning,…",PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=6cfd790692681e71&fccid=ec0fe3d8818aa8ae&vjs=3
203,AWS Cloud Engineer,Machine Learning Engineer,Ataloud Technologies,Remote,"2+ years of experience in the AWS cloud platform.
Experience on the various native services provisioning and maintenance on AWS.",PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=5966bea54e864e00&fccid=4ae66d1f015c5361&vjs=3
204,Python developer with Machine Learning skills,Machine Learning Engineer,Newscape Consulting,"Bavdhan, Pune, Maharashtra","Developer with machine learning skills.
Running machine learning tests and experiments.
Develop machine learning applications according to requirements.",PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=1236bbe4821020cf&fccid=4d3fd0a8023a3768&vjs=3
205,ETL Developer,Machine Learning Engineer,Euphoric Thought Technologies,"Noida, Uttar Pradesh","Experience in managing projects in Data Management / Big data / Cloud space is preferred.
Amazon Web Services, Google Cloud and/or Microsoft Azure.",EmployerActive 9 days ago,"₹10,00,000 - ₹11,90,092 a year",2023-08-30,https://in.indeed.com/company/Euphoric-Thought-Technologies/jobs/ETL-Developer-72c31750aa996f6b?fccid=b1e9b9c30550b02f&vjs=3
206,MLOps Engineer,Machine Learning Engineer,Caminosoft AI,Remote,"Collaborate with data scientists, machine learning engineers, and software developers to understand model requirements and implement production-ready solutions.",PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=1da6095d0c52975b&fccid=957ed7d840db1357&vjs=3
207,Woocommerce Developer (Remote),Machine Learning Engineer,Tventurer Pvt Ltd (Team-91.com),Remote in Remote,"Working hours : 3 AM - 11 AM (Mon - Fri).
WordPress and WooCommerce Programmer with a minimum of 5 years experience.",EmployerActive 8 days ago,"₹55,000 - ₹1,00,000 a month",2023-08-30,https://in.indeed.com/company/Tventurer-Pvt-Ltd/jobs/Developer-1cfdf8a5793ce166?fccid=1e3fc8388db211da&vjs=3
208,DevOps Engineer,Machine Learning Engineer,Indus Net Technologies,+1 locationRemote,We are looking for a DevOps Engineer to manage the software development process and create an automated delivery pipeline that assists in building software more…,PostedPosted 14 days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=b8cb39b7e77afd08&fccid=b5712e2e2095c20e&vjs=3
209,Sr ETL/Data Engineer,Machine Learning Engineer,UST,"Bengaluru, Karnataka","In-depth, hands-on experience with data warehouse ETL tools and technologies such as Informatica, Snowflake/Oracle, Control-M that will be leveraged to support…",PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=7e0b12be6809f6fd&fccid=810178099fb1fcbc&vjs=3
210,Engineer I,Machine Learning Engineer,NextGen Healthcare,Remote,"HL7 interfaces, HealthCare standards and protocols, Interface applications like Mirth(preferred), eLink, Connexion, Cloverleaf, Rhapsody.",PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=dbb3e0e30c375d61&fccid=d4be1913596002a5&vjs=3
211,RPA Engineer,Machine Learning Engineer,Mercedes-Benz Research and Development India...,"Bengaluru, Karnataka","Should have more than 4 years of relevant experience in UiPath.
Need to have minimum 5+ years of development experience in IT Industry(Not into testing).",PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=8b3fd4eff724a58a&fccid=9ab138c02aaca829&vjs=3
212,Machine Learning Engineer 1,Machine Learning Engineer,Expandium,"Chennai, Tamil Nadu","In new product design roles: develops and programs integrated software algorithms to structure, analyze and leverage data in product and systems applications in…",PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=f09cf88a33232515&fccid=e5f32920c98e523d&vjs=3
